id,index,diff,type,claim/issue,correctness (1/0/-1),additional claims,old_file,new_file
,,,claim,"Otherwise, it returns the tagName as is",,,,
,,,claim,This function is used to normalize the tagName of an element.,,,,
15739,1189,"@@ -142,7 +142,11 @@ class EditorManager {
 
     if (editorClass) {
       this.activeEditor = getEditorInstance(editorClass, this.instance);
+      this.activeEditor.row = row; // pre-preparation needed by getEditedCell
+      this.activeEditor.col = col;
       const td = this.activeEditor.getEditedCell();
+      this.activeEditor.row = null; // restore the un-initialized state
+      this.activeEditor.col = null;
       this.activeEditor.prepare(row, col, prop, td, originalValue, cellProperties);
 
     } else {",claim,The code changes include the addition of four lines,,,test1189_old.js,test1189_new.js
,,,claim,These lines are setting the row and column properties of the active editor before and after calling the getEditedCell method,,,,
,,,claim,This suggests that the getEditedCell method requires these properties to be set before it can be called,,,,
,,,claim,The lines also restore the un-initialized state of the row and column properties of the active editor after calling the getEditedCell method.,,,,
,,,issue,"line 147, col 7, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
14227,6840,"@@ -57,8 +57,10 @@ module Selenium
     #
     # @return [Driver]
     #
-    # @see Selenium::WebDriver::Remote::Bridge
+    # @see Selenium::WebDriver::Remote::OSSBridge
+    # @see Selenium::WebDriver::Remote::W3CBridge
     # @see Selenium::WebDriver::Firefox::Bridge
+    # @see Selenium::WebDriver::Firefox::W3CBridge
     # @see Selenium::WebDriver::IE::Bridge
     # @see Selenium::WebDriver::Edge::Bridge
     # @see Selenium::WebDriver::Chrome::Bridge",claim,The code changes in the GIT DIFF show that three lines of code have been replaced,,,test6840_old.js,test6840_new.js
,,,claim,"The original line that was commented out was ""# @see Selenium::WebDriver::Remote::Bridge""",,,,
,,,claim,"The new lines of code replace this comment and suggest three different classes: ""Selenium::WebDriver::Remote::OSSBridge"", ""Selenium::WebDriver::Remote::W3CBridge"", and ""Selenium::WebDriver::Firefox::W3CBridge""",,,,
,,,claim,"This suggests that the code is now referring to these three different classes instead of the original ""Selenium::WebDriver::Remote::Bridge"".",,,,
7808,3281,"@@ -33,7 +33,7 @@ export default Controller.extend(SettingsSaveMixin, {
     }),
 
     iconImageSource: computed('model.icon', function () {
-        return this.get('model.icon') || '';
+        return this.get('model.icon') || '/favicon.ico';
     }),
 
     coverImageSource: computed('model.cover', function () {",claim,The code change in the GIT DIFF modifies the default value returned by the 'iconImageSource' computed property,,,test3281_old.js,test3281_new.js
,,,claim,"Previously, if 'model.icon' was null or undefined, an empty string would be returned",,,,
,,,claim,"Now, the default value is '/favicon.ico'",,,,
,,,claim,This suggests that the code now uses a fallback icon when 'model.icon' is not set.,,,,
14132,7043,"@@ -6,7 +6,7 @@ var attr,
 	attrName,
 	allowed,
 	role = node.getAttribute('role'),
-	attrs = node.attributes;
+	attrs = axe.utils.getNodeAttributes(node);
 
 if (!role) {
 	role = axe.commons.aria.implicitRole(node);",claim,The code change in the GIT DIFF replaces an existing line of code,,,test7043_old.js,test7043_new.js
,,,claim,"Instead of assigning the attributes of the node to the variable ""attrs"", the new line of code now uses the function ""axe.utils.getNodeAttributes(node)"" to retrieve the attributes of the node",,,,
,,,claim,This suggests that the code is now using a different method to get the node attributes.,,,,
30935,9280,"@@ -1,3 +1,4 @@
+/* eslint-disable sitekit/camelcase-acronyms */
 /**
  * Profile Select component tests.
  *",claim,The code change represented by the GIT DIFF adds a new line of code that disables the ESLint rule for camelcase acronyms,,,test9280_old.js,test9280_new.js
,,,claim,This means that the code will not enforce the rule that requires acronyms to be written in camelcase.,,,,
40481,6733,"@@ -0,0 +1,6 @@
+const jestConfig = require( './jest.config' );
+
+module.exports = {
+	...jestConfig,
+	testMatch: [ '<rootDir>/.storybook/?(*.)test.js' ],
+};",claim,The GIT DIFF shows that a new file has been added,,,test6733_old.js,test6733_new.js
,,,claim,"This file is a configuration file for Jest, a testing framework",,,,
,,,claim,The added code imports the Jest configuration from './jest.config' and then exports a new configuration object,,,,
,,,claim,The new configuration object extends the Jest configuration and replaces the 'testMatch' property with a new array that only includes files matching the pattern '<rootDir>/.storybook/?(*.)test.js',,,,
,,,claim,This suggests that the new configuration is specifically tailored for testing files in the '.storybook' directory.,,,,
,,,issue,"line 1, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 4, col 5, 'spread operator' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 4, col 8, 'object spread property' is only available in ES9 (use 'esversion: 9').",,,,
35316,2139,"@@ -43,13 +43,16 @@ import { isZeroReport } from '../../modules/search-console/util/is-zero-report';
 import sumObjectListValue from '../../util/sum-object-list-value';
 const { useSelect } = Data;
 
+// reportArgs is declared in this higher scope so that it can be used by hasData.
+let reportArgs;
+
 const AdminBarClicks = ( { className } ) => {
 	const url = useSelect( ( select ) => select( CORE_SITE ).getCurrentEntityURL() );
 	const { compareStartDate, endDate } = useSelect( ( select ) => select( CORE_USER ).getDateRangeDates( {
 		compare: true,
 		offsetDays: DATE_RANGE_OFFSET,
 	} ) );
-	const reportArgs = {
+	reportArgs = {
 		startDate: compareStartDate,
 		endDate,
 		dimensions: 'date',",claim,"The code changes involve the declaration of the variable ""reportArgs""",,,test2139_old.js,test2139_new.js
,,,claim,"Initially, it was declared as a constant, but the changes include the addition of a comment explaining that ""reportArgs"" is declared in this higher scope so that it can be used by the ""hasData"" function",,,,
,,,claim,"The variable is then re-declared as a let, which means it can be reassigned, but its value cannot be changed",,,,
,,,claim,"The assignment of the object to ""reportArgs"" remains the same.",,,,
,,,issue,"line 43, col 1, 'import' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 44, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 44, col 1, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 47, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 49, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 49, col 24, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 49, col 40, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 50, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 50, col 37, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 51, col 5, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 51, col 5, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
,,,issue,"line 51, col 63, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').",,,,
,,,issue,"line 57, col 9, 'object short notation' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).",,,,
10955,9691,"@@ -24,6 +24,8 @@ describe('th-has-data-cells', function () {
 			'<table>' +
 			'  <tr> <th>hi</th> <td>hello</td> </tr>' +
 			'  <tr> <th>hi</th> <td>hello</td> </tr>' +
+			'  <tr> <td>hello</td> <th>hi</th> </tr>' +
+			'  <tr> <td>hello</td> <th>hi</th> </tr>' +
 			'</table>';
 
 		var node = fixture.querySelector('table');",claim,The code change adds two new lines to the HTML string that is being created,,,test9691_old.js,test9691_new.js
,,,claim,These new lines are rows in a table with two cells,,,,
,,,claim,"The first cell contains the text ""hello"" and the second cell contains the text ""hi""",,,,
,,,claim,This change suggests that the structure of the table has been modified to allow for a different order of elements in the rows.,,,,
14581,3981,"@@ -1268,7 +1268,13 @@ var AppRouter = Backbone.Router.extend({
         }
 
         // Init sidebar based on the current url
-        self.sidebar.init();
+        if (countlyVue.sideBarComponent) {
+            var selectedMenuItem = countlyVue.sideBarComponent.$store.getters[""countlySidebar/getSelectedMenuItem""];
+            var currLink = ""#"" + Backbone.history.fragment;
+            if (selectedMenuItem.item.url !== currLink) {
+                countlyVue.sideBarComponent.$store.dispatch(""countlySidebar/updateSelectedMenuItem"", null);
+            }
+        }
     },
     sidebar: {
         init: function() {",claim,The code change in the GIT DIFF replaces the existing line of code that was initializing the sidebar,,,test3981_old.js,test3981_new.js
,,,claim,The new code now checks if the sideBarComponent exists before attempting to access it,,,,
,,,claim,"If it does exist, it retrieves the selected menu item and the current link from the sideBarComponent's store",,,,
,,,claim,It then checks if the selected menu item's URL is not equal to the current link,,,,
,,,claim,"If it's not equal, it dispatches an action to update the selected menu item to null",,,,
,,,claim,This change seems to be a safeguard against potential null errors or exceptions.,,,,
13816,9317,"@@ -13,7 +13,8 @@ module.exports = function selectPopulatedFields(query) {
     var userProvidedFields = query._userProvidedFields || {};
     if (query.selectedInclusively()) {
       for (i = 0; i < paths.length; ++i) {
-        if (!isPathInFields(userProvidedFields, paths[i])) {
+        var hasPath = query._fields[paths[i]];
+        if (!isPathInFields(userProvidedFields, paths[i]) && hasPath) {
           query.select(paths[i]);
         }
       }",claim,The code change in the GIT DIFF adds a new line to check if a path exists in the fields of the query,,,test9317_old.js,test9317_new.js
,,,claim,It does this by assigning the value of query._fields[paths[i]] to the variable hasPath,,,,
,,,claim,The condition for selecting a path has been updated to first check if the path exists in the fields and only then check if the path is in the user-provided fields,,,,
,,,claim,This change ensures that the code only selects paths that exist in the fields and have been provided by the user.,,,,
11121,1748,"@@ -11,7 +11,7 @@ if (typeof define === 'function' && define.amd) {
 	});
 }
 if (typeof module === 'object' && module.exports && typeof axeFunction.toString === 'function') {
-    axe.source = '(' + axeFunction.toString() + ')(this, this.document);';
+    axe.source = '(' + axeFunction.toString() + ')(typeof window === ""object"" ? window : this);';
     module.exports = axe;
 }
 if (typeof window.getComputedStyle === 'function') {",claim,The code change in the GIT DIFF modifies the source code of the 'axe' object,,,test1748_old.js,test1748_new.js
,,,claim,"The original line of code was setting the 'source' property of the 'axe' object to the string representation of the 'axeFunction' function, with 'this' and 'this.document' as arguments",,,,
,,,claim,The updated line of code now checks if the 'window' object is available before using it as an argument,,,,
,,,claim,"If 'window' is available, it is used as the argument; otherwise, 'this' is used",,,,
,,,claim,"This change ensures that the 'axe' object's source is correctly set, regardless of whether the 'window' object is available.",,,,
14688,5898,"@@ -368,6 +368,8 @@ class RemoteConnection(object):
                 ('POST', '/session/$sessionId/window/rect'),
             Command.GET_WINDOW_RECT:
                 ('GET', '/session/$sessionId/window/rect'),
+            Command.W3C_MINIMIZE_WINDOW:
+                ('POST', '/session/$sessionId/window/minimize'),
             Command.MAXIMIZE_WINDOW:
                 ('POST', '/session/$sessionId/window/$windowHandle/maximize'),
             Command.W3C_MAXIMIZE_WINDOW:",claim,"The code change adds a new command ""W3C_MINIMIZE_WINDOW"" to the RemoteConnection class",,,test5898_old.js,test5898_new.js
,,,claim,This command is associated with the HTTP POST method and the endpoint '/session/$sessionId/window/minimize',,,,
,,,claim,This suggests that the code now supports minimizing a window in a web application.,,,,
